ملحقَبالمزيدَبحرفين,اِفعَللَ,اِفعَنل ََلَ,ملحقَبالمزيدَبحرف,تفَعْللَََ,ملحقَبمجردَالرباعي,فعَْل ََلَ,م,,ص,ج
"",,,,,,,,,,
"",,,,,,أَبْْلَََ,427,,27,ءَبَهَلََ
"",,,,,,,,,,
"",,,,تبَََمَ ََك,,برَْمَكََ,73,27,بَرَمَكَ
"",,,ت نبَََ َسََ,,ب نرَْ َسََ,,448,15,بَرَنَسَ
"",,,,,,ب نرَْ َقََ,77,25,بَرَنَقَ
"",,,,,برَْننَََ,َ,317,1,بَرَنَنَ
"",,,,,,برَْهَََ,279,31,بَرَهَمَ
"",,,,,,برَْهَ ََن,250,34,بَرَهَنَ
"",,,,,برَْوَ ََز,َ,280,2,بَرَوَزَ
"",,,,,,بزَْب ََزََ,30,15,بَزَبَزَ
"",,,,تبَََعَ ََر,,,171,10,بَزَعَرَ
"",,,,,,بزَْمَجََ,300,2,بَزَمَجَ
"",,,,,,بزَْمَ ََخ,236,7,بَزَمَخَ
"",,,,تبَسَْبسَََ,,بسَْبسََََ,454,15,بَسَبَسَ
"",,,,تبَسَْتَََ,,بسَْ ََتَ,257,34,بَسَتَنَ
"",,,,,,بسَْمَلََ,86,28,بَسَمَلَ
"",,,,تبَشَْب َشََ,,بشَْب َشَََ,80,17,بَشَبَشَ
"",,,,,بشَ نقَََ,,82,25,بَشَنَقَ
"",,,,تبََصْبَصََ,,بصَْبَ َصََ,491,17,بَصَبَصَ
"",,,,تبََضْبَضََ,,بضَْبَ َضََ,242,18,بَضَبَضَ
"",,,,تبََطْبَط,,بطَْبَطَ,159,19,بَطَبَطَ
"",,,,تبََطْرَقََ,,,84,25,بَطَرَقَ
"",,,,تبََظْرَََم,,بظَْرَََم,291,31,بَظَرَمَ
"",,,,تبََعْ ََبََ,,بعَْبَََََ,378,1,بَعَبَرَ
"",,,,,,بعَْبَََعَ,379,1,بَعَبَعَ
ملحقَبالمزيدَبحرفين,اِفعَللَ,اِفعَنللَََ,ملحقَبالمزيدَبحرف,تفَعْل ََلَ,ملحقَبمجردَالرباعي,فعَْل ََلَ,م,ص,ج
"",,,,,,,,,
"",,,,تبََعْثَََ,,بعَْثَََ,221,10,بَعَثَرَ
"",,,,تبََعْثقَََ,,,86,25,بَعَثَقَ
"",,,,,,بعَْذَرََ,222,10,بَعَذَرَ
"",,,,تبََعْرَ َصَ,,,493,17,بَعَرَصَ
"",,,,,,بعَْزَجََ,426,5,بَعَزَجَ
"",,,,تبََعْزَقََ,,بعَْزَ َقَ,86,25,بَعَزَقَ
"",,,,تبََعْصَصََ,,َ,494,17,بَعَصَصَ
"",,,,تبََعْضَضََ,,َ,244,18,بَعَضَضَ
"",,اِبعَْنْقَى,,,,,88,25,بَعَقَي
"",,,,,,بعَْكَ ََر,222,10,بَعَكَرَ
"",,,,,بعَْنسَََ,,460,15,بَعَنَسَ
"",,,,,,بغَْبَغَََ,444,22,بَغَبَغَ
"",,,,تبََغْثَََ,,بغَْ ََثَ,224,10,بَغَثَرَ
"",,,,تبََغْدَدََ,,بغَْدَدََ,441,7,بَغَدَدَ
"",,,,تبََغْدَ ََن,,,272,34,بَغَدَنَ
"",,,,تبََغْزَ ََل,,,98,28,بَغَزَلَ
"",,,,,,بغَْسَ ََل,98,28,بَغَسَلَ
"",,,,تبََغْنجَََ,,,426,5,بَغَنَجَ
"",,,,,,بقَْبَقَََ,92,25,بَقَبَقَ
"",,,,تبََكْبَكََ,,بكَْبَ ََكَ,81,27,بَكَبَكَ
"",,,,,,بلَْْزََ,35,15,بَلَءَزَ
"",,,,,,بلَْْ َصَ,497,17,بَلَءَصَ
"",,,,,,بلَبَََََْ,416,1,بَلَبَزَ
"",,,,تبََلبَْ ََل,,بلَبَْلَََ,498,2,بَلَبَلَ
"",,,,تبََلتَْعََ,,بلَتَْ ََع,502,2,بَلَتَعَ
"",,,,,بلَ َتَْ,َ,499,4,بَلَتَيَ
"",,,,,,بلَجَْ ََم,507,2,بَلَجَمَ
"",,,,,,بلَحَْمََ,302,31,بَلَحَمَ
"",,,,تبََلخَْصََ,,,495,17,بَلَخَصَ
"",,اِبلْنَْ ََدحََ,,تبََلْْ ََح,,بلَْْحََ,320,6,بَلَدَحَ
"",,اِبلْنَْدَ ََك,,,,,83,27,بَلَدَكَ
"",,,,,,بلَْْمََ,302,31,بَلَدَمَ
"",,,,تبََلسَمََ,,بلَسَمََ,303,31,بَلَسَمَ
